Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2013-09-02 15:00:00,1,79.00,79.00,79.00,66.90,,,67.00,10.40,1010.5,220.00,10.40,
2013-09-02 16:00:00,2,80.35,80.60,80.10,67.45,,,65.00,8.65,1010.0,215.00,9.20,
2013-09-02 17:00:00,1,82.00,82.00,82.00,68.00,,,63.00,6.90,1009.5,240.00,6.90,
2013-09-02 18:00:00,1,84.90,84.90,84.90,64.90,,18.40,51.00,12.70,1008.8,240.00,12.70,
2013-09-02 19:00:00,1,84.90,84.90,84.90,64.00,,17.30,50.00,10.40,1008.1,260.00,10.40,
2013-09-02 20:00:00,1,84.00,84.00,84.00,64.00,,,51.00,8.10,1008.1,250.00,8.10,
2013-09-02 21:00:00,1,80.10,80.10,80.10,64.90,,,60.00,5.80,1008.1,250.00,5.80,
2013-09-02 22:00:00,1,75.00,75.00,75.00,64.90,0.00,,71.00,10.40,1008.5,310.00,10.40,
2013-09-02 23:00:00,2,73.20,73.40,73.00,66.10,,,78.50,10.35,1009.3,285.00,11.50,
2013-09-03 00:00:00,1,73.90,73.90,73.90,64.90,,,74.00,12.70,1009.8,340.00,12.70,
2013-09-03 01:00:00,1,71.10,71.10,71.10,61.00,,,71.00,9.20,1010.8,320.00,9.20,
2013-09-03 02:00:00,1,69.10,69.10,69.10,60.10,,,73.00,5.80,1011.2,320.00,5.80,
2013-09-03 03:00:00,1,66.90,66.90,66.90,60.10,,,79.00,0.00,1011.5,0.00,0.00,
2013-09-03 04:00:00,1,64.00,64.00,64.00,60.10,,,87.00,4.60,1011.5,280.00,4.60,
2013-09-03 05:00:00,1,62.10,62.10,62.10,59.00,,,90.00,4.60,1011.2,290.00,4.60,
2013-09-03 06:00:00,1,63.00,63.00,63.00,59.00,,,87.00,6.90,1011.2,280.00,6.90,
2013-09-03 07:00:00,1,62.10,62.10,62.10,59.00,,,90.00,6.90,1011.2,300.00,6.90,
2013-09-03 08:00:00,1,61.00,61.00,61.00,59.00,,,93.00,0.00,1011.5,0.00,0.00,
2013-09-03 09:00:00,4,59.90,60.80,59.00,57.38,,,91.50,1.75,1012.0,122.50,3.50,
2013-09-03 10:00:00,2,60.45,60.80,60.10,58.10,,,92.00,5.20,1012.7,280.00,6.90,
2013-09-03 11:00:00,3,61.23,62.10,60.80,59.00,,,92.67,5.77,1013.1,310.00,8.10,
2013-09-03 12:00:00,2,62.80,63.00,62.60,58.45,,,86.00,9.20,1014.0,335.00,9.20,
2013-09-03 13:00:00,2,65.20,66.00,64.40,56.10,,20.70,73.00,8.65,1014.2,335.00,9.20,
2013-09-03 14:00:00,1,66.90,66.90,66.90,50.00,,19.60,55.00,15.00,1014.6,290.00,15.00,
2013-09-03 15:00:00,1,71.10,71.10,71.10,50.00,,25.30,47.00,13.80,1014.9,300.00,13.80,
2013-09-03 16:00:00,2,69.90,70.00,69.80,51.45,,,52.00,10.35,1014.9,315.00,11.50,
2013-09-03 17:00:00,1,70.00,70.00,70.00,52.00,,,53.00,6.90,1014.9,360.00,6.90,
2013-09-03 18:00:00,1,69.10,69.10,69.10,52.00,,20.70,55.00,12.70,1014.9,320.00,12.70,
2013-09-03 19:00:00,1,69.10,69.10,69.10,53.10,,,57.00,12.70,1015.2,330.00,12.70,
2013-09-03 20:00:00,1,70.00,70.00,70.00,53.10,,,55.00,17.30,1015.2,310.00,17.30,
2013-09-03 21:00:00,1,68.00,68.00,68.00,53.10,,,59.00,16.10,1015.6,320.00,16.10,
2013-09-03 22:00:00,1,64.90,64.90,64.90,53.10,,,65.00,11.50,1015.9,320.00,11.50,
2013-09-03 23:00:00,1,64.00,64.00,64.00,53.10,,,68.00,5.80,1016.3,290.00,5.80,
2013-09-04 00:00:00,1,64.00,64.00,64.00,53.10,,,68.00,8.10,1017.3,310.00,8.10,
2013-09-04 01:00:00,1,62.10,62.10,62.10,54.00,,,75.00,3.50,1017.6,290.00,3.50,
2013-09-04 02:00:00,1,60.10,60.10,60.10,54.00,,,80.00,0.00,1017.6,0.00,0.00,
2013-09-04 03:00:00,1,59.00,59.00,59.00,54.00,,,83.00,3.50,1017.6,270.00,3.50,
2013-09-04 04:00:00,1,57.90,57.90,57.90,54.00,,,87.00,0.00,1017.9,0.00,0.00,
2013-09-04 05:00:00,1,57.00,57.00,57.00,53.10,,,87.00,0.00,1018.3,0.00,0.00,
2013-09-04 06:00:00,1,55.00,55.00,55.00,53.10,,,93.00,3.50,1018.3,270.00,3.50,
2013-09-04 07:00:00,1,55.00,55.00,55.00,52.00,,,89.00,0.00,1018.3,0.00,0.00,
2013-09-04 08:00:00,1,54.00,54.00,54.00,51.10,,,90.00,4.60,1018.6,290.00,4.60,
2013-09-04 09:00:00,1,53.10,53.10,53.10,51.10,,,93.00,0.00,1018.6,0.00,0.00,
2013-09-04 10:00:00,1,53.10,53.10,53.10,50.00,,,89.00,0.00,1019.3,0.00,0.00,
2013-09-04 11:00:00,1,54.00,54.00,54.00,51.10,,,90.00,0.00,1020.0,0.00,0.00,
2013-09-04 12:00:00,1,57.90,57.90,57.90,53.10,,,84.00,0.00,1020.0,0.00,0.00,
2013-09-04 13:00:00,1,62.10,62.10,62.10,54.00,,,75.00,5.80,1020.7,,5.80,
2013-09-04 14:00:00,1,66.00,66.00,66.00,53.10,,,63.00,6.90,1020.7,220.00,6.90,
2013-09-04 15:00:00,1,68.00,68.00,68.00,53.10,,,59.00,5.80,1020.3,240.00,5.80,
2013-09-04 16:00:00,1,71.10,71.10,71.10,53.10,,,53.00,5.80,1020.0,240.00,5.80,
2013-09-04 17:00:00,1,73.90,73.90,73.90,53.10,,,48.00,9.20,1019.6,280.00,9.20,
2013-09-04 18:00:00,1,75.00,75.00,75.00,52.00,,,45.00,6.90,1019.0,200.00,6.90,
2013-09-04 19:00:00,1,75.00,75.00,75.00,52.00,,17.30,45.00,4.60,1019.0,280.00,4.60,
2013-09-04 20:00:00,1,75.90,75.90,75.90,52.00,,,43.00,6.90,1018.6,220.00,6.90,
2013-09-04 21:00:00,1,75.90,75.90,75.90,53.10,,,45.00,9.20,1018.6,240.00,9.20,
2013-09-04 22:00:00,1,73.90,73.90,73.90,55.00,,,52.00,4.60,1018.3,250.00,4.60,
2013-09-04 23:00:00,1,71.10,71.10,71.10,55.90,,,59.00,3.50,1018.3,230.00,3.50,
2013-09-05 00:00:00,1,68.00,68.00,68.00,55.90,,,65.00,4.60,1019.0,240.00,4.60,
2013-09-05 01:00:00,1,66.90,66.90,66.90,55.90,,,68.00,4.60,1019.3,250.00,4.60,
2013-09-05 02:00:00,1,64.90,64.90,64.90,55.90,,,73.00,3.50,1019.0,230.00,3.50,
2013-09-05 03:00:00,1,64.90,64.90,64.90,55.90,,,73.00,4.60,1019.0,230.00,4.60,
2013-09-05 04:00:00,1,64.00,64.00,64.00,55.90,,,75.00,5.80,1018.6,220.00,5.80,
2013-09-05 05:00:00,1,63.00,63.00,63.00,55.90,,,78.00,4.60,1018.6,240.00,4.60,
2013-09-05 06:00:00,1,63.00,63.00,63.00,57.00,,,81.00,3.50,1018.6,250.00,3.50,
2013-09-05 07:00:00,1,62.10,62.10,62.10,57.00,,,84.00,5.80,1018.6,260.00,5.80,
2013-09-05 08:00:00,1,62.10,62.10,62.10,57.00,,,84.00,5.80,1018.6,270.00,5.80,
2013-09-05 09:00:00,1,61.00,61.00,61.00,57.00,,,87.00,5.80,1019.0,270.00,5.80,
2013-09-05 10:00:00,1,60.10,60.10,60.10,55.90,,,86.00,6.90,1019.3,280.00,6.90,
2013-09-05 11:00:00,2,62.35,62.60,62.10,57.10,,,83.50,7.50,1020.1,305.00,8.10,
2013-09-05 12:00:00,2,65.20,66.00,64.40,56.55,,,74.00,9.80,1020.7,345.00,10.40,
2013-09-05 13:00:00,1,66.00,66.00,66.00,55.90,,,70.00,5.80,1021.0,360.00,5.80,
2013-09-05 14:00:00,1,69.10,69.10,69.10,54.00,,,59.00,10.40,1021.3,340.00,10.40,
2013-09-05 15:00:00,1,70.00,70.00,70.00,53.10,,,55.00,11.50,1021.3,310.00,11.50,
2013-09-05 16:00:00,1,71.10,71.10,71.10,50.00,,20.70,47.00,15.00,1021.7,330.00,15.00,
2013-09-05 17:00:00,1,73.00,73.00,73.00,48.90,,20.70,43.00,12.70,1021.7,340.00,12.70,
2013-09-05 18:00:00,1,73.90,73.90,73.90,48.90,,21.90,41.00,11.50,1021.0,340.00,11.50,
2013-09-05 19:00:00,1,73.90,73.90,73.90,48.00,,19.60,40.00,15.00,1021.0,350.00,15.00,
2013-09-05 20:00:00,1,73.90,73.90,73.90,46.00,,,37.00,11.50,1021.0,340.00,11.50,
2013-09-05 21:00:00,1,73.00,73.00,73.00,44.10,,,35.00,12.70,1021.3,350.00,12.70,
2013-09-05 22:00:00,1,71.10,71.10,71.10,42.10,,,35.00,11.50,1021.3,330.00,11.50,
2013-09-05 23:00:00,1,66.00,66.00,66.00,44.10,,,45.00,10.40,1021.7,350.00,10.40,
2013-09-06 00:00:00,1,64.00,64.00,64.00,45.00,,,50.00,10.40,1022.4,360.00,10.40,
2013-09-06 01:00:00,1,61.00,61.00,61.00,44.10,,20.70,54.00,12.70,1023.0,10.00,12.70,
2013-09-06 02:00:00,1,59.00,59.00,59.00,45.00,,,60.00,9.20,1023.4,350.00,9.20,
2013-09-06 03:00:00,1,57.90,57.90,57.90,45.00,,,62.00,3.50,1023.4,40.00,3.50,
2013-09-06 04:00:00,1,55.90,55.90,55.90,45.00,,,67.00,0.00,1023.7,0.00,0.00,
2013-09-06 05:00:00,1,52.00,52.00,52.00,46.00,,,80.00,0.00,1024.0,0.00,0.00,
2013-09-06 06:00:00,1,52.00,52.00,52.00,45.00,,,77.00,0.00,1024.0,0.00,0.00,
2013-09-06 07:00:00,1,48.90,48.90,48.90,44.10,,,83.00,0.00,1024.0,0.00,0.00,
2013-09-06 08:00:00,1,48.00,48.00,48.00,44.10,,,86.00,0.00,1024.4,0.00,0.00,
2013-09-06 09:00:00,1,48.00,48.00,48.00,44.10,,,86.00,0.00,1024.4,0.00,0.00,
2013-09-06 10:00:00,1,46.90,46.90,46.90,42.10,,,83.00,0.00,1024.7,0.00,0.00,
2013-09-06 11:00:00,1,50.00,50.00,50.00,44.10,,,80.00,0.00,1025.1,0.00,0.00,
2013-09-06 12:00:00,1,54.00,54.00,54.00,46.00,,,75.00,0.00,1025.4,0.00,0.00,
2013-09-06 13:00:00,1,59.00,59.00,59.00,45.00,,,60.00,3.50,1025.4,110.00,3.50,
2013-09-06 14:00:00,1,63.00,63.00,63.00,45.00,,,52.00,6.90,1025.4,60.00,6.90,
2013-09-06 15:00:00,1,66.00,66.00,66.00,43.00,,,43.00,3.50,1025.1,,3.50,
2013-09-06 16:00:00,1,68.00,68.00,68.00,41.00,,,37.00,3.50,1024.4,,3.50,
2013-09-06 17:00:00,1,70.00,70.00,70.00,39.90,,,34.00,5.80,1023.7,,5.80,
2013-09-06 18:00:00,1,71.10,71.10,71.10,39.00,,,31.00,5.80,1022.7,70.00,5.80,
2013-09-06 19:00:00,1,73.00,73.00,73.00,35.10,,,25.00,3.50,1022.0,160.00,3.50,
2013-09-06 20:00:00,1,73.00,73.00,73.00,37.00,,,27.00,0.00,1021.7,0.00,0.00,
2013-09-06 21:00:00,1,73.00,73.00,73.00,37.00,,,27.00,5.80,1021.3,100.00,5.80,
2013-09-06 22:00:00,1,72.00,72.00,72.00,37.90,,,29.00,3.50,1021.3,50.00,3.50,
2013-09-06 23:00:00,1,69.10,69.10,69.10,39.90,,,35.00,4.60,1021.3,40.00,4.60,
2013-09-07 00:00:00,1,64.00,64.00,64.00,41.00,,,43.00,0.00,1021.0,0.00,0.00,
2013-09-07 01:00:00,1,64.00,64.00,64.00,41.00,,,43.00,0.00,1021.3,0.00,0.00,
2013-09-07 02:00:00,1,57.90,57.90,57.90,45.00,,,62.00,0.00,1021.0,0.00,0.00,
2013-09-07 03:00:00,1,55.90,55.90,55.90,46.00,,,69.00,0.00,1020.7,0.00,0.00,
2013-09-07 04:00:00,1,54.00,54.00,54.00,46.00,,,75.00,0.00,1020.7,0.00,0.00,
2013-09-07 05:00:00,1,54.00,54.00,54.00,46.00,,,75.00,0.00,1020.3,0.00,0.00,
2013-09-07 06:00:00,1,52.00,52.00,52.00,45.00,,,77.00,0.00,1020.0,0.00,0.00,
2013-09-07 07:00:00,1,51.10,51.10,51.10,45.00,,,80.00,0.00,1019.6,0.00,0.00,
2013-09-07 08:00:00,1,48.90,48.90,48.90,44.10,,,83.00,0.00,1019.6,0.00,0.00,
2013-09-07 09:00:00,1,48.00,48.00,48.00,44.10,,,86.00,0.00,1019.6,0.00,0.00,
2013-09-07 10:00:00,1,48.90,48.90,48.90,44.10,,,83.00,0.00,1019.6,0.00,0.00,
2013-09-07 11:00:00,1,50.00,50.00,50.00,45.00,,,83.00,0.00,1020.0,0.00,0.00,
2013-09-07 12:00:00,1,55.90,55.90,55.90,46.00,,,69.00,0.00,1019.6,0.00,0.00,
2013-09-07 13:00:00,1,64.00,64.00,64.00,48.00,,,56.00,0.00,1019.6,0.00,0.00,
2013-09-07 14:00:00,1,71.10,71.10,71.10,45.00,,,39.00,5.80,1019.3,270.00,5.80,
2013-09-07 15:00:00,1,73.00,73.00,73.00,46.00,,,38.00,4.60,1018.6,,4.60,
2013-09-07 16:00:00,1,75.00,75.00,75.00,43.00,,,32.00,8.10,1018.3,180.00,8.10,
2013-09-07 17:00:00,1,77.00,77.00,77.00,46.00,,,34.00,3.50,1017.6,,3.50,
2013-09-07 18:00:00,1,79.00,79.00,79.00,46.90,,,32.00,9.20,1016.9,300.00,9.20,
2013-09-07 19:00:00,1,79.00,79.00,79.00,46.90,,,32.00,9.20,1016.3,270.00,9.20,
2013-09-07 20:00:00,1,79.00,79.00,79.00,46.00,,,31.00,6.90,1015.9,250.00,6.90,
2013-09-07 21:00:00,1,79.00,79.00,79.00,48.90,,,35.00,6.90,1015.2,250.00,6.90,
2013-09-07 22:00:00,1,75.90,75.90,75.90,52.00,,,43.00,6.90,1014.9,230.00,6.90,
2013-09-07 23:00:00,1,73.00,73.00,73.00,53.10,,,50.00,5.80,1015.2,240.00,5.80,
2013-09-08 00:00:00,1,72.00,72.00,72.00,54.00,,,53.00,4.60,1015.6,230.00,4.60,
2013-09-08 01:00:00,1,71.10,71.10,71.10,55.00,,,57.00,4.60,1015.2,220.00,4.60,
2013-09-08 02:00:00,1,70.00,70.00,70.00,55.00,,,59.00,5.80,1015.2,220.00,5.80,
2013-09-08 03:00:00,1,70.00,70.00,70.00,55.00,,,59.00,5.80,1014.9,230.00,5.80,
2013-09-08 04:00:00,1,69.10,69.10,69.10,55.90,,,63.00,4.60,1014.9,260.00,4.60,
2013-09-08 05:00:00,1,69.10,69.10,69.10,55.90,,,63.00,3.50,1014.6,240.00,3.50,
2013-09-08 06:00:00,1,68.00,68.00,68.00,55.90,,,65.00,3.50,1014.2,240.00,3.50,
2013-09-08 07:00:00,1,68.00,68.00,68.00,57.00,,,68.00,5.80,1013.9,240.00,5.80,
2013-09-08 08:00:00,1,68.00,68.00,68.00,57.00,,,68.00,4.60,1013.9,260.00,4.60,
2013-09-08 09:00:00,1,68.00,68.00,68.00,57.90,,,70.00,3.50,1013.9,250.00,3.50,
2013-09-08 10:00:00,1,66.90,66.90,66.90,57.90,,,73.00,3.50,1014.2,250.00,3.50,
2013-09-08 11:00:00,1,66.00,66.00,66.00,59.00,,,78.00,0.00,1014.6,0.00,0.00,
2013-09-08 12:00:00,1,69.10,69.10,69.10,60.10,,,73.00,4.60,1014.9,280.00,4.60,
2013-09-08 13:00:00,1,72.00,72.00,72.00,62.10,,,71.00,10.40,1015.2,330.00,10.40,
2013-09-08 14:00:00,1,73.00,73.00,73.00,63.00,,,71.00,9.20,1015.6,350.00,9.20,
2013-09-08 15:00:00,1,75.90,75.90,75.90,63.00,,,64.00,8.10,1015.6,360.00,8.10,
2013-09-08 16:00:00,1,75.90,75.90,75.90,63.00,,,64.00,10.40,1015.9,360.00,10.40,
2013-09-08 17:00:00,1,77.00,77.00,77.00,64.00,,,64.00,6.90,1015.9,20.00,6.90,
2013-09-08 18:00:00,1,78.10,78.10,78.10,63.00,,,60.00,9.20,1015.9,320.00,9.20,
2013-09-08 19:00:00,1,80.10,80.10,80.10,62.10,,19.60,54.00,13.80,1015.6,360.00,13.80,
2013-09-08 20:00:00,1,78.10,78.10,78.10,60.10,,,54.00,12.70,1016.3,350.00,12.70,
2013-09-08 21:00:00,1,77.00,77.00,77.00,60.10,,,56.00,15.00,1015.9,350.00,15.00,
2013-09-08 22:00:00,1,73.90,73.90,73.90,59.00,,,60.00,8.10,1016.6,10.00,8.10,
2013-09-08 23:00:00,1,72.00,72.00,72.00,57.90,,,61.00,8.10,1016.6,10.00,8.10,
2013-09-09 00:00:00,1,69.10,69.10,69.10,57.00,,,66.00,4.60,1017.3,30.00,4.60,
2013-09-09 01:00:00,1,68.00,68.00,68.00,55.90,,,65.00,4.60,1017.9,20.00,4.60,
2013-09-09 02:00:00,1,66.00,66.00,66.00,55.90,,,70.00,3.50,1018.3,10.00,3.50,
2013-09-09 03:00:00,1,64.00,64.00,64.00,55.90,,,75.00,3.50,1018.6,20.00,3.50,
2013-09-09 04:00:00,1,63.00,63.00,63.00,54.00,,,73.00,4.60,1018.6,30.00,4.60,
2013-09-09 05:00:00,1,61.00,61.00,61.00,53.10,,,75.00,0.00,1018.3,0.00,0.00,
2013-09-09 06:00:00,1,60.10,60.10,60.10,53.10,,,78.00,0.00,1018.3,0.00,0.00,
2013-09-09 07:00:00,1,60.10,60.10,60.10,54.00,,,80.00,0.00,1018.3,0.00,0.00,
2013-09-09 08:00:00,1,59.00,59.00,59.00,53.10,,,81.00,3.50,1018.6,90.00,3.50,
2013-09-09 09:00:00,1,57.00,57.00,57.00,53.10,,,87.00,3.50,1019.0,100.00,3.50,
2013-09-09 10:00:00,1,57.90,57.90,57.90,54.00,,,87.00,3.50,1019.0,100.00,3.50,
2013-09-09 11:00:00,1,59.00,59.00,59.00,54.00,,,83.00,4.60,1019.3,90.00,4.60,
2013-09-09 12:00:00,1,61.00,61.00,61.00,55.00,,,81.00,6.90,1019.3,120.00,6.90,
2013-09-09 13:00:00,1,66.90,66.90,66.90,57.90,,,73.00,5.80,1019.6,130.00,5.80,
2013-09-09 14:00:00,1,72.00,72.00,72.00,61.00,,,68.00,9.20,1019.6,170.00,9.20,
2013-09-09 15:00:00,1,73.90,73.90,73.90,63.00,,,69.00,6.90,1019.3,160.00,6.90,
2013-09-09 16:00:00,1,75.90,75.90,75.90,64.00,,,67.00,5.80,1019.0,160.00,5.80,
2013-09-09 17:00:00,1,79.00,79.00,79.00,66.00,,,65.00,6.90,1018.6,170.00,6.90,
2013-09-09 18:00:00,1,80.10,80.10,80.10,66.90,,,64.00,3.50,1018.3,180.00,3.50,
2013-09-09 19:00:00,1,82.00,82.00,82.00,68.00,,,63.00,6.90,1017.3,160.00,6.90,
2013-09-09 20:00:00,2,80.35,80.60,80.10,68.35,0.00,20.70,67.00,9.25,1016.9,205.00,15.00,
2013-09-09 21:00:00,4,71.92,73.40,71.10,65.03,0.44,42.60,79.25,8.93,1017.1,95.00,16.10,
2013-09-09 22:00:00,1,72.00,72.00,72.00,68.00,,,87.00,5.80,1017.3,120.00,5.80,
2013-09-09 23:00:00,1,71.10,71.10,71.10,68.00,,,90.00,4.60,1017.6,150.00,4.60,
2013-09-10 00:00:00,1,71.10,71.10,71.10,68.00,0.01,,90.00,3.50,1018.3,130.00,3.50,
2013-09-10 01:00:00,1,71.10,71.10,71.10,68.00,0.02,,90.00,0.00,1018.3,0.00,0.00,
2013-09-10 02:00:00,1,70.00,70.00,70.00,68.00,0.00,,94.00,3.50,1017.9,170.00,3.50,
2013-09-10 03:00:00,1,70.00,70.00,70.00,68.00,,,94.00,0.00,1018.3,0.00,0.00,
2013-09-10 04:00:00,1,70.00,70.00,70.00,68.00,,,94.00,4.60,1018.3,180.00,4.60,
2013-09-10 05:00:00,1,70.00,70.00,70.00,66.90,,,90.00,4.60,1018.3,170.00,4.60,
2013-09-10 06:00:00,1,71.10,71.10,71.10,66.90,,,87.00,4.60,1018.3,200.00,4.60,
2013-09-10 07:00:00,1,72.00,72.00,72.00,66.90,,,84.00,5.80,1018.3,200.00,5.80,
2013-09-10 08:00:00,1,72.00,72.00,72.00,66.90,,,84.00,6.90,1019.0,210.00,6.90,
2013-09-10 09:00:00,1,72.00,72.00,72.00,66.90,,,84.00,4.60,1019.3,220.00,4.60,
2013-09-10 10:00:00,1,72.00,72.00,72.00,66.90,,,84.00,8.10,1019.6,210.00,8.10,
2013-09-10 11:00:00,1,73.00,73.00,73.00,66.90,,,81.00,9.20,1019.6,220.00,9.20,
2013-09-10 12:00:00,1,73.90,73.90,73.90,66.90,,,79.00,6.90,1020.0,210.00,6.90,
2013-09-10 13:00:00,1,77.00,77.00,77.00,68.00,,,74.00,6.90,1020.7,230.00,6.90,
2013-09-10 14:00:00,1,80.10,80.10,80.10,69.10,,,69.00,10.40,1020.7,220.00,10.40,
2013-09-10 15:00:00,1,82.90,82.90,82.90,69.10,,,63.00,10.40,1020.3,220.00,10.40,
2013-09-10 16:00:00,1,86.00,86.00,86.00,70.00,,,59.00,10.40,1020.3,220.00,10.40,
2013-09-10 17:00:00,1,88.00,88.00,88.00,71.10,,,58.00,10.40,1020.0,220.00,10.40,
2013-09-10 18:00:00,1,89.10,89.10,89.10,70.00,,,54.00,9.20,1019.6,210.00,9.20,
2013-09-10 19:00:00,1,90.00,90.00,90.00,70.00,,19.60,52.00,10.40,1019.3,240.00,10.40,
2013-09-10 20:00:00,1,90.00,90.00,90.00,70.00,,,52.00,10.40,1019.0,250.00,10.40,
2013-09-10 21:00:00,1,88.00,88.00,88.00,72.00,,,59.00,10.40,1019.3,210.00,10.40,
2013-09-10 22:00:00,1,86.00,86.00,86.00,72.00,,,63.00,11.50,1019.3,210.00,11.50,
2013-09-10 23:00:00,1,84.00,84.00,84.00,72.00,,,67.00,6.90,1019.6,200.00,6.90,
2013-09-11 00:00:00,1,82.00,82.00,82.00,72.00,,,72.00,5.80,1020.7,210.00,5.80,
2013-09-11 01:00:00,1,81.00,81.00,81.00,72.00,,,74.00,5.80,1021.3,200.00,5.80,
2013-09-11 02:00:00,1,80.10,80.10,80.10,72.00,,,76.00,4.60,1021.3,220.00,4.60,
2013-09-11 03:00:00,1,79.00,79.00,79.00,72.00,,,79.00,4.60,1021.3,180.00,4.60,
2013-09-11 04:00:00,1,77.00,77.00,77.00,71.10,,,82.00,3.50,1021.3,180.00,3.50,
2013-09-11 05:00:00,1,75.90,75.90,75.90,71.10,,,85.00,0.00,1021.0,0.00,0.00,
2013-09-11 06:00:00,1,75.90,75.90,75.90,71.10,,,85.00,0.00,1021.0,0.00,0.00,
2013-09-11 07:00:00,1,75.00,75.00,75.00,70.00,,,84.00,0.00,1020.7,0.00,0.00,
