h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate
420010301011000,93,20,49,24,32,29,32,0,0,1,6,7,5,17,7,1,3,2,6,0,12,4,8,1,3,5,5,92,1,0,0,0,0,90,3,7,23,25,18,56,37,20130521
420010301011001,434,120,222,92,123,133,178,1,1,4,23,32,32,78,37,14,22,7,31,13,33,23,29,3,28,8,15,412,7,1,9,0,5,431,3,19,111,89,95,251,183,20130521
420010301011002,223,50,124,49,59,72,92,2,2,1,16,19,18,45,14,4,5,1,14,4,9,10,27,0,15,9,8,211,11,0,1,0,0,222,1,15,55,45,58,126,97,20130521
420010301011003,93,28,51,14,27,31,35,1,0,0,3,10,4,14,5,1,3,0,8,0,9,8,11,1,9,3,3,89,0,2,0,0,2,80,13,4,14,28,19,56,37,20130521
420010301011004,9,3,4,2,1,5,3,0,0,0,0,2,0,0,3,0,1,0,1,0,0,0,1,0,1,0,0,9,0,0,0,0,0,9,0,0,4,0,2,4,5,20130521
420010301011005,13,3,7,3,4,3,6,1,0,0,0,1,0,2,0,0,1,0,2,1,0,2,2,1,0,0,0,10,2,0,0,0,1,12,1,0,2,6,2,4,9,20130521
420010301011006,6,3,3,0,3,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,6,0,0,2,1,0,2,4,20130521
420010301011008,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,20130521
420010301011009,12,4,7,1,5,2,5,0,0,0,2,1,1,0,1,0,0,0,2,0,0,1,1,0,3,0,0,12,0,0,0,0,0,12,0,1,3,2,2,7,5,20130521
420010301011010,35,7,21,7,6,8,21,0,0,0,4,6,1,5,5,1,0,0,1,1,0,3,4,0,3,1,0,34,0,0,1,0,0,35,0,0,11,12,5,20,15,20130521
420010301011011,4,1,2,1,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,1,1,0,4,0,20130521
420010301011012,9,5,2,2,4,4,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,9,0,0,0,0,0,7,2,0,2,0,2,3,6,20130521
420010301011013,24,3,15,6,3,10,11,2,0,0,3,5,0,1,1,0,0,0,1,1,0,1,3,1,3,1,1,24,0,0,0,0,0,22,2,2,9,6,4,16,8,20130521
420010301011016,24,3,17,4,4,11,9,2,0,0,3,2,2,2,0,0,1,0,0,1,0,6,4,0,0,1,0,24,0,0,0,0,0,24,0,1,8,5,7,13,11,20130521
420010301011017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,20130521
420010301011018,21,3,14,4,6,6,9,1,0,0,2,6,2,1,0,0,0,0,1,0,0,6,1,0,0,1,0,21,0,0,0,0,0,21,0,3,7,4,4,11,10,20130521
420010301011021,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,2,0,2,20130521
420010301011024,11,3,5,3,5,4,2,0,0,0,1,1,0,2,0,0,1,0,0,0,0,2,2,0,2,0,0,11,0,0,0,0,0,11,0,2,2,4,0,5,6,20130521
420010301011026,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,1,1,20130521
420010301011027,3,2,1,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,2,1,20130521
420010301011028,16,3,11,2,4,6,6,0,0,0,0,3,0,1,1,0,1,0,0,0,0,3,2,1,1,2,1,16,0,0,0,0,0,15,1,1,2,4,6,7,9,20130521
420010301011029,22,11,10,1,7,7,8,1,0,0,3,3,0,2,0,0,1,0,2,0,3,1,1,0,4,0,1,22,0,0,0,0,0,21,1,1,4,4,2,15,7,20130521
420010301011030,3,0,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,1,1,0,1,3,0,20130521
420010301011031,10,2,7,1,1,7,2,0,0,0,1,1,1,3,0,0,0,0,0,0,0,2,0,0,2,0,0,10,0,0,0,0,0,9,1,0,3,3,2,4,6,20130521
420010301011032,2,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,1,20130521
420010301011033,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,20130521
420010301011036,3,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,1,2,0,0,1,2,20130521
420010301011038,23,5,10,8,10,7,6,0,0,0,3,3,1,3,2,0,0,0,0,0,1,5,2,0,1,1,1,23,0,0,0,0,0,22,1,3,8,3,4,17,6,20130521
420010301011040,5,1,3,1,0,3,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,3,0,3,2,20130521
420010301011042,7,2,5,0,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,5,0,0,2,0,0,7,0,2,1,0,2,1,6,20130521
420010301011043,21,4,13,4,4,8,9,0,1,0,0,5,1,2,2,0,0,0,3,2,1,1,2,1,0,0,0,21,0,0,0,0,0,21,0,1,6,7,3,10,11,20130521
420010301011044,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,3,0,0,1,0,2,0,3,20130521
420010301011049,3,0,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,3,0,0,0,2,1,2,1,20130521
420010301011050,3,1,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,1,1,2,20130521
420010301011053,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,20130521
420010301011054,23,5,13,5,8,12,3,2,0,0,2,4,1,2,1,0,1,1,2,0,2,3,1,0,1,0,0,23,0,0,0,0,0,23,0,2,6,8,2,13,10,20130521
420010301011055,9,3,5,1,3,4,2,0,0,0,2,3,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,9,0,0,0,0,0,9,0,0,3,2,1,4,5,20130521
420010301011057,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,3,0,0,0,2,1,1,2,20130521
420010301011062,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,2,20130521
420010301011063,37,6,20,11,12,12,13,1,0,0,4,8,3,3,3,2,0,0,3,0,1,2,4,0,2,1,0,36,0,0,1,0,0,37,0,3,14,11,3,17,20,20130521
420010301011064,20,4,12,4,6,3,11,1,0,0,0,4,2,4,0,0,1,0,1,0,1,2,0,1,2,0,1,20,0,0,0,0,0,20,0,3,6,5,2,14,6,20130521
420010301011065,16,3,9,4,6,4,6,2,0,0,1,4,0,1,1,1,0,0,0,0,2,2,1,0,0,1,0,16,0,0,0,0,0,15,1,0,4,6,3,9,7,20130521
420010301011066,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,1,20130521
420010301011067,9,1,5,3,1,2,6,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,9,0,0,0,0,0,9,0,1,5,1,1,5,4,20130521
420010301011070,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,20130521
420010301011071,25,5,16,4,6,5,14,1,0,0,2,4,2,1,2,0,0,0,0,1,2,6,1,1,2,0,0,25,0,0,0,0,0,25,0,1,13,6,0,15,10,20130521
420010301011072,12,0,9,3,0,3,9,0,0,0,3,2,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,11,1,2,2,3,5,3,9,20130521
420010301011077,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,20130521
420010301011078,13,1,8,4,3,5,5,0,0,0,1,1,0,2,0,0,1,0,1,0,0,2,1,0,4,0,0,13,0,0,0,0,0,13,0,3,4,3,2,5,8,20130521
420010301011080,8,3,4,1,3,4,1,2,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,8,0,1,2,1,1,7,1,20130521
420010301011082,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,20130521
420010301011083,14,2,9,3,4,6,4,1,0,0,2,4,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,14,0,0,0,0,0,12,2,1,5,4,2,7,7,20130521
420010301011084,8,1,3,4,2,2,4,0,0,0,1,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,8,0,0,0,0,0,8,0,0,2,3,2,5,3,20130521
420010301011088,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,20130521
420010301011090,16,1,12,3,3,5,8,1,0,0,3,1,0,1,3,0,0,0,0,2,0,0,4,0,0,0,1,16,0,0,0,0,0,15,1,1,7,5,2,4,12,20130521
420010301011091,2,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,2,0,20130521
420010301011092,26,7,15,4,8,9,9,1,0,1,0,6,0,1,2,0,1,0,1,1,1,4,4,0,2,1,0,23,0,0,3,0,0,24,2,1,8,4,6,9,17,20130521
420010301011095,20,2,13,5,3,11,6,0,0,0,1,5,1,2,2,1,2,0,0,0,0,0,3,0,3,0,0,20,0,0,0,0,0,17,3,1,9,5,3,7,13,20130521
420010301011096,6,1,3,2,2,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0,6,0,0,3,1,1,5,1,20130521
420010301011097,3,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,3,0,0,1,1,1,1,2,20130521
420010301011100,3,1,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,1,1,0,2,1,20130521
420010301011101,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,20130521
420010301011102,12,3,7,2,2,4,6,0,0,0,0,1,2,0,1,0,1,0,0,1,3,1,0,0,2,0,0,12,0,0,0,0,0,12,0,1,3,2,3,7,5,20130521
420010301011103,6,0,2,4,2,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,6,0,0,2,3,1,4,2,20130521
420010301011104,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,20130521
420010301011105,8,0,6,2,1,4,3,0,0,0,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,7,1,0,0,0,0,8,0,1,5,1,1,5,3,20130521
420010301011106,17,1,15,1,2,4,11,0,0,0,3,4,0,3,2,0,0,0,1,0,1,1,1,0,0,1,0,17,0,0,0,0,0,17,0,4,5,3,4,8,9,20130521
420010301011108,11,0,8,3,2,4,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,1,0,2,1,0,11,0,0,0,0,0,11,0,1,5,4,1,4,7,20130521
420010301011109,11,4,5,2,3,3,5,0,0,0,2,3,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,11,0,0,2,4,1,6,5,20130521
420010301011112,8,2,4,2,3,2,3,2,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,8,0,1,4,1,0,6,2,20130521
420010301011116,76,13,39,24,9,29,38,2,0,0,10,18,0,2,6,1,1,1,5,0,3,10,7,1,3,6,0,76,0,0,0,0,0,75,1,4,22,19,18,41,35,20130521
420010301011117,18,4,7,7,3,6,9,1,0,0,0,6,2,0,1,0,2,0,1,0,0,2,1,0,1,1,0,18,0,0,0,0,0,18,0,1,6,3,4,11,7,20130521
420010301011118,8,0,5,3,2,3,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,8,0,0,0,0,0,8,0,1,2,2,3,5,3,20130521
420010301011119,6,2,4,0,1,4,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,0,0,0,6,0,1,1,1,1,3,3,20130521
420010301011120,25,3,18,4,3,9,13,2,0,0,1,11,0,0,2,0,0,0,0,0,1,2,5,0,0,1,0,25,0,0,0,0,0,25,0,1,8,11,2,17,8,20130521
420010301011121,17,3,10,4,4,6,7,1,0,0,1,4,1,3,1,0,0,0,0,0,0,3,1,1,0,1,0,17,0,0,0,0,0,17,0,3,4,4,3,10,7,20130521
420010301011122,11,3,6,2,4,4,3,0,0,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,11,0,1,6,1,0,6,5,20130521
420010301011123,18,4,9,5,5,4,9,0,0,0,2,3,0,3,2,0,1,0,0,0,1,1,3,2,0,0,0,18,0,0,0,0,0,18,0,0,7,3,4,12,6,20130521
420010301011124,15,5,8,2,5,3,7,1,0,1,0,6,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,15,0,0,0,0,0,15,0,0,8,2,0,11,4,20130521
420010301011125,17,5,7,5,3,6,8,0,0,0,3,2,2,1,0,0,1,0,1,0,0,3,1,0,1,2,0,17,0,0,0,0,0,17,0,1,5,3,3,11,6,20130521
420010301011127,11,1,5,5,1,3,7,0,0,0,5,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,10,1,0,0,0,0,11,0,1,3,2,4,6,5,20130521
420010301011128,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,20130521
420010301021000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,20130521
420010301021001,27,7,13,7,5,11,11,0,0,0,1,8,1,0,2,0,0,0,2,0,0,2,2,2,3,2,2,27,0,0,0,0,0,27,0,3,8,6,3,14,13,20130521
420010301021002,3,1,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,1,2,20130521
420010301021003,11,3,7,1,2,6,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,11,0,0,0,0,0,11,0,0,4,3,1,6,5,20130521
420010301021004,9,4,4,1,2,5,2,0,0,0,1,0,1,3,0,1,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,4,0,9,0,0,3,1,1,3,6,20130521
420010301021005,85,25,45,15,26,36,23,0,0,0,2,5,3,16,3,1,5,1,7,3,6,2,10,1,10,5,5,49,0,0,24,0,12,85,0,1,10,28,21,49,36,20130521
420010301021006,35,8,22,5,13,10,12,0,0,0,1,4,1,2,6,0,1,0,3,1,1,2,6,1,1,2,3,35,0,0,0,0,0,35,0,1,8,7,11,15,20,20130521
420010301021007,623,154,353,116,163,192,268,3,1,7,34,39,49,136,37,13,23,7,39,11,36,26,63,8,39,26,26,621,2,0,0,0,0,586,37,43,155,136,135,344,279,20130521
420010301021009,1021,277,543,201,297,316,408,3,0,11,40,67,65,215,62,24,43,11,63,22,52,54,122,12,76,22,57,1007,13,1,0,0,0,989,32,62,238,225,219,505,516,20130521
420010301021011,219,54,128,37,62,73,84,1,0,1,16,17,13,35,14,9,9,3,14,8,11,10,30,4,11,6,7,212,7,0,0,0,0,212,7,19,43,51,52,112,107,20130521
420010301021012,13,1,12,0,3,6,4,0,0,0,1,1,1,4,1,1,0,0,0,0,0,1,2,0,0,0,1,11,2,0,0,0,0,12,1,0,4,5,3,7,6,20130521
420010301021013,9,4,3,2,2,5,2,0,0,0,0,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,5,4,0,3,0,2,3,6,20130521
420010301021014,25,9,10,6,12,7,6,2,0,0,3,2,1,3,2,0,0,1,1,0,1,0,3,0,4,2,0,20,3,1,0,0,1,22,3,1,8,5,2,17,8,20130521
420010301021015,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,20130521
420010301021016,13,3,10,0,1,9,3,0,0,0,0,4,1,3,0,0,0,0,1,0,0,0,1,0,1,0,2,11,0,1,0,0,1,11,2,2,2,2,4,6,7,20130521
420010301021017,23,8,11,4,4,9,10,1,0,0,2,10,0,0,2,0,0,0,0,0,0,4,3,0,1,0,0,22,0,1,0,0,0,22,1,2,7,2,4,14,9,20130521
420010301021018,18,4,13,1,4,8,6,0,0,0,2,3,2,1,2,2,0,0,1,0,2,0,2,0,1,0,0,17,1,0,0,0,0,17,1,3,3,6,2,10,8,20130521
420010301021019,4,1,3,0,1,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,2,0,1,3,20130521
420010301021022,13,2,9,2,4,6,3,1,1,0,0,2,0,1,1,1,0,0,0,0,0,2,1,0,0,3,0,13,0,0,0,0,0,13,0,0,4,5,2,6,7,20130521
420010301021023,3,2,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,1,2,20130521
420010301021024,5,0,3,2,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,0,0,0,0,0,5,0,1,3,0,1,3,2,20130521
420010301021025,19,4,14,1,4,8,7,0,0,0,2,4,3,1,0,0,0,0,1,0,0,3,3,0,1,0,1,18,0,0,1,0,0,19,0,1,5,3,6,11,8,20130521
420010301021026,15,5,8,2,4,8,3,2,0,0,2,3,1,0,0,0,0,0,0,1,0,1,1,0,4,0,0,14,1,0,0,0,0,14,1,1,5,3,1,9,6,20130521
420010301021027,18,7,8,3,4,7,7,0,0,0,0,4,1,1,2,0,0,0,0,0,1,3,3,0,3,0,0,15,1,2,0,0,0,17,1,1,3,5,2,9,9,20130521
420010301021031,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,1,1,20130521
420010301021032,49,11,28,10,10,17,22,1,0,0,5,15,3,3,1,1,0,0,1,1,2,8,4,0,3,1,0,43,2,0,0,0,4,38,11,6,16,11,5,24,25,20130521
420010301021033,25,5,15,5,8,9,8,0,0,0,2,4,0,3,3,0,0,0,1,0,3,2,4,0,2,1,0,23,0,2,0,0,0,22,3,3,6,5,6,11,14,20130521
420010301021035,24,5,12,7,7,6,11,3,0,0,3,2,1,1,1,0,1,1,1,0,0,2,2,1,4,0,1,23,1,0,0,0,0,23,1,3,5,4,7,15,9,20130521
420010301022001,8,4,4,0,4,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,7,0,1,0,0,0,6,2,1,0,1,2,2,6,20130521
420010301022002,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,20130521
420010301022005,45,10,32,3,13,11,21,0,1,1,3,12,2,7,0,0,2,0,1,0,2,1,3,2,6,1,1,42,1,2,0,0,0,42,3,5,11,13,6,22,23,20130521
420010301022006,16,2,11,3,3,6,7,0,0,0,0,3,1,0,2,0,0,0,0,0,0,4,0,1,3,2,0,15,1,0,0,0,0,16,0,3,3,3,5,9,7,20130521
420010301022007,9,2,6,1,2,3,4,0,0,0,1,2,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,7,2,0,0,0,0,7,2,1,3,2,1,3,6,20130521
420010301022008,8,1,3,4,3,3,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,7,1,0,0,0,0,7,1,2,3,1,1,4,4,20130521
420010301022009,15,6,9,0,3,10,2,0,0,0,2,2,0,3,1,0,0,0,1,1,1,1,1,0,1,1,0,15,0,0,0,0,0,15,0,1,6,1,1,7,8,20130521
420010301022010,7,1,4,2,0,1,6,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,2,3,1,6,1,20130521
420010301022011,53,13,33,7,12,22,19,0,0,1,0,17,1,3,1,0,4,0,2,0,2,4,9,0,4,2,3,52,1,0,0,0,0,50,3,2,15,17,6,27,26,20130521
420010301022014,16,5,10,1,5,4,7,0,0,0,0,4,1,2,0,1,0,0,1,0,0,0,2,1,3,0,1,14,0,0,0,0,2,16,0,1,6,3,1,8,8,20130521
420010301022015,4,0,3,1,0,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,1,1,2,2,2,20130521
420010301022016,17,3,12,2,3,4,10,1,0,0,1,3,1,0,4,1,1,0,1,0,0,1,0,0,3,0,0,17,0,0,0,0,0,17,0,0,2,5,7,8,9,20130521
420010301022017,67,21,33,13,17,25,25,1,0,1,4,20,0,7,4,0,3,1,4,0,2,3,6,2,5,3,1,67,0,0,0,0,0,67,0,5,18,14,9,34,33,20130521
420010301022018,11,3,6,2,3,5,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,4,0,2,0,0,11,0,0,0,0,0,11,0,0,4,2,2,6,5,20130521
420010301022019,10,2,7,1,0,4,6,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,10,0,0,0,0,0,10,0,1,4,2,1,5,5,20130521
420010301022020,19,1,14,4,2,6,11,1,0,0,2,4,1,2,1,0,0,0,1,0,0,2,3,0,1,1,0,19,0,0,0,0,0,18,1,1,6,5,6,10,9,20130521
420010301022021,17,3,11,3,6,6,5,0,0,0,1,3,0,3,2,0,0,0,0,1,1,1,4,0,1,0,0,16,0,0,0,0,1,17,0,2,3,4,5,10,7,20130521
420010301022022,16,0,14,2,1,5,10,0,0,0,1,2,1,2,3,0,1,0,0,0,0,1,2,0,2,1,0,16,0,0,0,0,0,16,0,1,6,8,1,12,4,20130521
420010301022023,24,9,13,2,5,8,11,0,0,1,2,6,0,2,3,0,0,0,1,0,0,2,3,0,4,0,0,21,0,0,2,0,1,24,0,0,3,5,7,11,13,20130521
420010301022024,11,2,7,2,5,2,4,1,0,0,0,2,1,0,0,1,0,0,0,0,1,2,1,0,2,0,0,10,0,0,1,0,0,10,1,0,5,4,0,4,7,20130521
420010301022025,10,2,5,3,3,5,2,0,0,0,1,3,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,10,0,0,1,2,5,5,5,20130521
420010301022026,20,5,12,3,8,6,6,0,0,0,2,5,0,2,4,1,0,0,0,0,2,1,2,0,0,1,0,20,0,0,0,0,0,20,0,0,5,7,3,11,9,20130521
420010301022027,7,1,5,1,1,1,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,7,0,1,3,2,0,2,5,20130521
420010301022028,3,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,3,0,0,0,2,1,2,1,20130521
420010301022029,11,4,2,5,3,5,3,0,0,0,1,2,0,1,2,0,0,1,1,0,0,0,2,0,0,0,1,11,0,0,0,0,0,11,0,1,2,2,2,6,5,20130521
420010301022030,7,2,1,4,3,2,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,7,0,0,0,0,0,7,0,1,1,0,3,4,3,20130521
420010301022031,28,6,18,4,8,9,11,2,0,0,1,6,1,4,0,0,1,0,2,0,1,3,2,0,3,0,2,23,1,0,1,0,3,27,1,2,7,6,7,9,19,20130521
420010301022032,26,4,17,5,6,9,11,1,0,0,2,8,0,1,1,0,2,0,0,0,0,2,5,0,2,1,1,26,0,0,0,0,0,26,0,1,7,8,6,12,14,20130521
420010301022033,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,20130521
420010301022034,18,2,14,2,4,8,6,1,0,0,3,3,1,0,1,0,1,0,0,0,0,2,3,0,1,1,1,18,0,0,0,0,0,16,2,3,3,6,4,10,8,20130521
420010301022037,2,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,1,1,20130521
420010301022038,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,20130521
420010301022040,4,1,2,1,1,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,1,2,0,0,2,2,20130521
420010301022041,10,0,8,2,1,5,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,1,0,10,0,0,0,0,0,10,0,1,0,4,5,5,5,20130521
420010301022043,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,1,1,20130521
420010301022044,3,0,2,1,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,1,1,2,1,20130521
420010301022045,3,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,3,0,0,2,1,0,2,1,20130521
420010301022046,11,4,5,2,3,4,4,0,0,0,1,3,0,0,1,0,1,1,0,0,0,0,2,0,2,0,0,11,0,0,0,0,0,9,2,1,3,2,1,5,6,20130521
420010301022048,35,11,22,2,11,13,11,1,0,0,4,9,0,4,1,0,1,1,2,0,1,3,4,0,4,0,0,35,0,0,0,0,0,34,1,6,8,5,5,21,14,20130521
420010301022049,16,4,10,2,1,8,7,0,0,0,1,4,1,1,3,0,0,0,0,1,0,4,1,0,0,0,0,14,0,2,0,0,0,16,0,0,5,4,3,11,5,20130521
